-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: latitude  -7.629   longitude 111.524 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 222.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR
2025,11,11,4.848,7.2725,25.44,27.84,23.65,89.57,1.44,25.79
2025,11,12,4.5122,7.1026,25.32,28.45,22.96,88.27,1.4,26.17
2025,11,13,4.0322,7.05,24.73,27.69,22.56,89.88,2.55,18.69
2025,11,14,4.3774,7.2758,25.28,29.14,21.73,86.57,1.88,4.9
2025,11,15,4.3246,7.3085,25.69,29.81,22.89,86.6,2.56,5.8
2025,11,16,5.0141,7.1966,26.06,29.99,22.97,85.09,1.66,4.29
2025,11,17,4.9469,7.2151,26.08,29.75,22.99,85.83,1.8,6.73
2025,11,18,5.3789,7.1251,26.1,29.77,23.45,85.81,1.61,26.23
2025,11,19,4.4798,7.2146,25.74,29.29,23.42,87.53,1.34,10.98
2025,11,20,4.8636,7.1333,25.33,28.23,22.88,87.54,0.94,1.42
2025,11,21,3.8777,7.1222,25.82,29.19,23.55,87.48,1.42,18.7
2025,11,22,5.4319,7.2014,25.94,29.87,22.99,86.43,1.75,19.87
2025,11,23,5.551,7.1705,25.92,29.29,23.59,86.78,1.16,21.25
2025,11,24,4.9382,7.0044,25.79,29.33,23.58,86.87,1.83,14.55
2025,11,25,6.0058,7.0524,26.25,30.91,22.63,85.14,2.65,2.11
2025,11,26,4.8329,7.1215,26.26,30.83,22.51,85.21,2.78,2.54
2025,11,27,5.6186,7.0505,25.49,28.97,23.14,88.7,2.61,7.22
2025,11,28,5.7415,7.2458,25.65,30.55,22.25,82.83,3.44,0.29
2025,11,29,5.6837,7.0831,25.52,30.39,21.86,83.73,3.09,5.63
2025,11,30,5.5006,7.044,25.35,29.29,22.11,84.05,1.59,4.9
2025,12,1,4.5847,6.9259,26.21,30.11,22.72,82.79,1.82,0.1
2025,12,2,5.737,7.0435,26.35,30.38,22.78,84.27,1.61,0.27
2025,12,3,4.313,6.9689,25.49,28.34,23.43,88.32,1.63,1.27
2025,12,4,3.4013,7.0814,26.24,30.2,23.02,83.78,0.87,11.82
2025,12,5,5.4874,7.1398,26.09,30.64,22.65,84.61,1.0,8.4
2025,12,6,5.2313,7.0445,25.42,28.42,23.2,88.12,2.05,5.97
2025,12,7,5.3482,7.1122,24.87,26.89,23.48,92.22,2.23,5.69
2025,12,8,4.8336,6.839,25.13,27.82,23.19,90.97,2.22,8.82
2025,12,9,4.4071,7.0898,25.03,27.78,22.66,88.86,1.84,4.59
2025,12,10,6.0264,6.8954,26.32,30.14,22.49,82.1,0.94,1.22
2025,12,11,4.5578,6.9437,25.73,28.75,23.39,87.86,1.64,34.12
2025,12,12,6.1234,7.0262,25.82,30.11,22.46,84.7,2.43,2.82
2025,12,13,5.0585,6.8539,26.01,30.47,22.0,85.45,2.18,10.26
2025,12,14,3.8347,6.641,25.45,29.62,23.14,90.91,2.61,28.45
2025,12,15,5.387,7.0973,24.99,28.26,22.68,91.28,3.18,12.21
2025,12,16,6.1404,7.3711,24.9,30.17,20.96,84.45,3.37,0.77
2025,12,17,6.4291,7.2763,25.17,30.47,20.33,84.32,2.85,2.23
2025,12,18,5.1074,7.2374,25.39,29.32,21.91,88.48,2.54,9.89
2025,12,19,3.9667,7.3682,25.29,28.18,23.14,88.54,1.7,1.34
2025,12,20,4.8938,7.2048,25.74,28.8,23.64,88.62,1.45,4.52
2025,12,21,5.0731,7.1177,25.17,27.31,23.74,93.23,0.99,15.91
2025,12,22,5.6738,7.1731,26.15,30.51,22.79,85.5,2.25,6.53
2025,12,23,5.6124,7.0512,26.34,30.09,23.1,87.72,1.97,13.69
2025,12,24,5.5068,6.8138,26.3,29.91,23.04,88.48,2.4,15.06
2025,12,25,5.939,6.9485,26.34,29.61,23.6,89.36,1.81,51.83
2025,12,26,5.2865,6.9797,25.73,28.65,23.58,89.93,2.77,25.12
2025,12,27,5.0604,7.1095,25.45,27.92,23.56,92.11,2.41,13.32
2025,12,28,6.1358,7.1671,26.22,29.66,23.1,86.88,1.36,2.14
2025,12,29,6.2347,7.0361,26.05,29.41,23.24,87.67,1.73,5.55
2025,12,30,5.2838,6.9106,25.81,29.55,23.26,87.23,1.59,2.0
2025,12,31,2.783,-999.0,25.18,28.21,23.02,89.28,2.02,17.08
